n03873848	noun.artifact	small wooden bat with a flat surface; used for hitting balls in various games
v02067889	verb.motion	run off as waste
n08374049	noun.group	a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government
n06892775	noun.communication	a performance of music by players or singers not involving theatrical staging
v01372556	verb.contact	kick; give a boot to
n09904708	noun.person	(ice hockey) the person who plays center on a hockey team
n13963970	noun.state	the state of being a married couple voluntarily joined for life (or until divorce)
n03185746	noun.artifact	any ornamental pattern or design (as in embroidery)
n02667379	noun.artifact	a monastery ruled by an abbot
n09084750	noun.location	a state in midwestern United States
v01454810	verb.contact	draw slowly or heavily
v01582645	verb.contact	make a mark or lines on a surface
n06782019	noun.communication	a message expressing a belief about something; the expression of a belief that is held with confidence but not substantiated by positive knowledge or proof
n03458422	noun.artifact	a cooking utensil of parallel metal bars; used to grill fish or meat
a02736015	adj.pert	relating to or derived from a glacier
